# framed_channel Select candidates (generated by refresh-candidates.sh; do not edit)
# charon: 0.1.270 (whole-crate charon cargo --preset=aeneas over rust/)
# extraction joined: aeneas/FramedChannelAeneas/Extracted/Funs.lean (by source span)
# crate forbids unsafe_code (rust/src/lib.rs): yes
# translated declarations matching the concurrency/IO/interior-mutability denylist: 0
# items: 80 local; 80 in-subset; 0 excluded; 24 derived impls
# scope: syntactic checks over the crate's own LLBC items; std internals are not audited (G3)
# columns: lean_name	rust_path	span	visibility	kind	derived	verdict	reason
framed_channel.channel.Channel.Insts.CoreCloneClone.clone	framed_channel::channel::{impl core::clone::Clone}::clone	src/channel.rs:96:16-96:21	pub	trait-impl	derived:Clone	in-subset	-
framed_channel.channel.Channel.Insts.CoreFmtDebug.fmt	framed_channel::channel::{impl core::fmt::Debug}::fmt	src/channel.rs:96:9-96:14	pub	trait-impl	derived:Debug	in-subset	-
framed_channel.channel.Channel.deliver	framed_channel::channel::{impl}::deliver	src/channel.rs:150:4-165:5	pub	fn	-	in-subset	-
framed_channel.channel.Channel.queued	framed_channel::channel::{impl}::queued	src/channel.rs:173:4-175:5	pub	fn	-	in-subset	-
framed_channel.channel.Channel.send	framed_channel::channel::{impl}::send	src/channel.rs:130:4-140:5	pub	fn	-	in-subset	-
framed_channel.channel.Channel.take	framed_channel::channel::{impl}::take	src/channel.rs:168:4-170:5	pub	fn	-	in-subset	-
framed_channel.channel.Channel.with_queue	framed_channel::channel::{impl}::with_queue	src/channel.rs:116:4-118:5	pub	fn	-	in-subset	-
framed_channel.channel.ChannelRingBufferVecU8.new	framed_channel::channel::{impl}::new	src/channel.rs:108:4-110:5	pub	fn	-	in-subset	-
framed_channel.channel.DeliverFail.Insts.CoreCloneClone.clone	framed_channel::channel::{impl core::clone::Clone}::clone	src/channel.rs:37:16-37:21	pub	trait-impl	derived:Clone	in-subset	-
framed_channel.channel.DeliverFail.Insts.CoreCmpEq.assert_fields_are_eq	framed_channel::channel::{impl core::cmp::Eq}::assert_fields_are_eq	src/channel.rs:37:40-37:42	pub	trait-impl	derived:Eq	in-subset	-
framed_channel.channel.DeliverFail.Insts.CoreCmpPartialEqDeliverFail.eq	framed_channel::channel::{impl core::cmp::PartialEq}::eq	src/channel.rs:37:29-37:38	pub	trait-impl	derived:PartialEq	in-subset	-
framed_channel.channel.DeliverFail.Insts.CoreFmtDebug.fmt	framed_channel::channel::{impl core::fmt::Debug}::fmt	src/channel.rs:37:9-37:14	pub	trait-impl	derived:Debug	in-subset	-
framed_channel.channel.MARKER	framed_channel::channel::MARKER	src/channel.rs:29:0-29:28	pub	const	-	in-subset	-
framed_channel.channel.SendFail.Insts.CoreCloneClone.clone	framed_channel::channel::{impl core::clone::Clone}::clone	src/channel.rs:44:16-44:21	pub	trait-impl	derived:Clone	in-subset	-
framed_channel.channel.SendFail.Insts.CoreCmpEq.assert_fields_are_eq	framed_channel::channel::{impl core::cmp::Eq}::assert_fields_are_eq	src/channel.rs:44:40-44:42	pub	trait-impl	derived:Eq	in-subset	-
